timestamp,production_kg_h,compressor_kw,chiller_kw,boiler_kw,other_kw,total_kw,chiller_cop,energy_intensity_kwh_kg
2026-08-20 00:00:00,910.7,150.4,163.6,105.7,147.4,567.1,4.75,0.623
2026-08-20 01:00:00,867.5,155.8,167.9,102.9,152.2,578.8,4.74,0.667
2026-08-20 02:00:00,934.0,138.3,162.2,113.6,151.0,565.2,4.61,0.605
2026-08-20 03:00:00,944.5,143.5,177.5,111.1,154.1,586.3,4.51,0.621
2026-08-20 04:00:00,847.1,142.6,166.9,108.6,145.0,563.1,4.56,0.665
2026-08-20 05:00:00,873.6,158.1,170.7,111.8,147.4,588.1,4.55,0.673
2026-08-20 06:00:00,927.4,153.4,183.5,119.4,149.1,605.5,4.11,0.653
2026-08-20 07:00:00,1175.5,167.5,188.9,107.5,146.1,610.1,4.43,0.519
2026-08-20 08:00:00,1189.5,156.7,181.0,111.8,141.8,591.3,4.57,0.497
2026-08-20 09:00:00,1163.7,155.6,179.4,111.6,142.3,589.0,4.52,0.506
2026-08-20 10:00:00,1227.7,167.9,183.6,112.3,138.5,602.3,4.53,0.491
2026-08-20 11:00:00,1227.4,165.6,188.5,111.4,148.4,613.8,4.31,0.5
2026-08-20 12:00:00,1205.6,167.5,185.3,113.9,144.2,611.0,4.37,0.507
2026-08-20 13:00:00,1245.7,164.9,185.9,111.3,139.7,601.8,4.4,0.483
2026-08-20 14:00:00,1225.5,166.8,195.1,117.0,139.7,618.6,4.07,0.505
2026-08-20 15:00:00,1181.7,164.1,186.3,114.8,135.3,600.5,4.45,0.508
2026-08-20 16:00:00,1227.3,169.9,200.6,117.6,152.8,640.9,4.19,0.522
2026-08-20 17:00:00,1183.2,168.1,188.6,116.6,145.6,618.9,4.27,0.523
2026-08-20 18:00:00,1249.6,156.5,199.9,118.7,138.1,613.2,4.16,0.491
2026-08-20 19:00:00,1219.2,151.4,192.3,114.0,151.5,609.1,4.25,0.5
2026-08-20 20:00:00,1216.3,170.7,195.7,123.9,140.5,630.9,4.22,0.519
2026-08-20 21:00:00,1200.5,171.2,187.2,116.0,133.7,608.1,4.32,0.506
2026-08-20 22:00:00,1268.6,161.0,189.4,109.3,153.2,612.8,4.31,0.483
2026-08-20 23:00:00,961.6,142.1,185.7,105.0,140.7,573.5,4.31,0.596
2026-08-21 00:00:00,953.0,153.5,188.4,101.9,141.7,585.5,4.15,0.614
2026-08-21 01:00:00,956.5,158.6,184.2,109.0,145.3,597.2,4.41,0.624
