key,grid,layer,depth_interval,n_final_sources,n_final_secondaries,median_station_mean,relative_spread_pct
-1.375_35.125|layer1|10-10,-1.375_35.125,layer1,10-10,2,1,0.2657089593976273,25.301889806010813
-10.625_-38.125|layer1|10-10,-10.625_-38.125,layer1,10-10,2,1,0.07379488641407267,1.296998482468417
-10.625_-38.375|layer1|10-10,-10.625_-38.375,layer1,10-10,2,1,0.07537019120407616,37.043392893835545
-11.375_-40.375|layer1|10-10,-11.375_-40.375,layer1,10-10,2,1,0.0632040476667715,22.99911690021507
-12.625_-41.125|layer1|10-10,-12.625_-41.125,layer1,10-10,2,1,0.09433616102209033,30.417584189600987
-13.375_-40.125|layer1|10-10,-13.375_-40.125,layer1,10-10,2,1,0.13646749621785176,34.12350743470304
-13.375_-43.625|layer1|10-10,-13.375_-43.625,layer1,10-10,2,1,0.06766552965235173,39.95112009497937
-13.625_-41.875|layer1|10-10,-13.625_-41.875,layer1,10-10,2,1,0.08173219279218753,21.158275312179452
-14.375_-42.375|layer1|10-10,-14.375_-42.375,layer1,10-10,2,1,0.07685655770586595,13.682315495912196
-14.625_-40.625|layer1|10-10,-14.625_-40.625,layer1,10-10,2,1,0.09492784717067054,5.71924576373398
-15.125_-42.875|layer1|10-10,-15.125_-42.875,layer1,10-10,2,1,0.09701268639605978,14.0969107988388
-3.625_-40.625|layer1|10-10,-3.625_-40.625,layer1,10-10,2,1,0.08802417658923356,0.7390710482348802
-3.875_-40.125|layer1|10-10,-3.875_-40.125,layer1,10-10,2,1,0.06429161420566909,49.340963673844016
-32.125_150.375|layer1|0-5,-32.125_150.375,layer1,0-5,3,2,0.1242424965706447,75.25597530879892
-34.625_146.125|layer1|0-5,-34.625_146.125,layer1,0-5,2,1,0.15774858285714288,3.2577951707748234
-34.875_146.125|layer1|0-5,-34.875_146.125,layer1,0-5,2,1,0.1471156840085529,16.483534967758285
-35.125_146.375|layer1|0-5,-35.125_146.375,layer1,0-5,2,1,0.12849357428673436,0.7412226240922986
-35.125_147.375|layer1|0-5,-35.125_147.375,layer1,0-5,2,1,0.17090760753601503,12.379745442166765
-35.375_147.375|layer1|0-5,-35.375_147.375,layer1,0-5,3,2,0.09674585012594458,20.32612423442513
-35.375_147.625|layer1|0-8,-35.375_147.625,layer1,0-8,5,4,0.16120777945164208,10.76868777836536
-35.375_148.125|layer1|0-8,-35.375_148.125,layer1,0-8,5,4,0.14364294140323824,23.201712382645717
-36.625_174.625|layer1|5-5,-36.625_174.625,layer1,5-5,4,3,0.34205928369096017,7.031852645955771
-4.125_-39.375|layer1|10-10,-4.125_-39.375,layer1,10-10,2,1,0.08647989356594112,23.682191157150157
-5.375_-39.625|layer1|10-10,-5.375_-39.625,layer1,10-10,2,1,0.08770295526248315,6.586644865573425
-5.625_-39.125|layer1|10-10,-5.625_-39.125,layer1,10-10,2,1,0.08880532692549908,12.905747751005999
-5.875_-37.625|layer1|10-10,-5.875_-37.625,layer1,10-10,2,1,0.06956132141069002,32.12286553214014
-6.375_-39.375|layer1|10-10,-6.375_-39.375,layer1,10-10,2,1,0.0757346488888889,48.628286738681076
-6.875_-38.875|layer1|10-10,-6.875_-38.875,layer1,10-10,2,1,0.09362108386974631,37.84934685346392
-7.125_-39.375|layer1|10-10,-7.125_-39.375,layer1,10-10,2,1,0.16569964361165512,28.866933039962344
-7.375_-38.125|layer1|10-10,-7.375_-38.125,layer1,10-10,2,1,0.12785892781043118,3.659828690972395
-7.375_-38.875|layer1|10-10,-7.375_-38.875,layer1,10-10,2,1,0.0444135298502667,28.251747602957455
-7.375_-41.875|layer1|10-10,-7.375_-41.875,layer1,10-10,2,1,0.02712565820737576,2.9480241184039526
-7.625_-37.375|layer1|10-10,-7.625_-37.375,layer1,10-10,2,1,0.06019504881222475,73.44420196349304
-7.625_-38.375|layer1|10-10,-7.625_-38.375,layer1,10-10,2,1,0.09067026056190658,11.497643562070689
-7.625_-39.625|layer1|10-10,-7.625_-39.625,layer1,10-10,2,1,0.08319217935068474,16.939185795865455
-7.875_-35.875|layer1|10-10,-7.875_-35.875,layer1,10-10,2,1,0.09258785905598824,80.0136984701026
-8.375_-36.625|layer1|10-10,-8.375_-36.625,layer1,10-10,2,1,0.08566557832147356,22.35229946969127
