key,grid,layer,depth_interval,overlap_corr_median,overlap_corr_mean,n_final_secondary_pairs,total_gapfilled_days
-1.375_35.125|layer1|10-10,-1.375_35.125,layer1,10-10,0.562158805459936,0.562158805459936,1,5
-10.625_-38.125|layer1|10-10,-10.625_-38.125,layer1,10-10,0.9133334173062784,0.9133334173062784,1,48
-10.625_-38.375|layer1|10-10,-10.625_-38.375,layer1,10-10,0.7000550407372923,0.7000550407372923,1,19
-11.375_-40.375|layer1|10-10,-11.375_-40.375,layer1,10-10,0.6981085188542222,0.6981085188542222,1,222
-12.625_-41.125|layer1|10-10,-12.625_-41.125,layer1,10-10,0.3705015948596822,0.3705015948596822,1,2
-13.375_-40.125|layer1|10-10,-13.375_-40.125,layer1,10-10,0.5826139986236542,0.5826139986236542,1,2
-13.375_-43.625|layer1|10-10,-13.375_-43.625,layer1,10-10,0.8422953188842708,0.8422953188842708,1,1
-13.625_-41.875|layer1|10-10,-13.625_-41.875,layer1,10-10,0.6378118180376944,0.6378118180376944,1,14
-14.375_-42.375|layer1|10-10,-14.375_-42.375,layer1,10-10,0.6674108011632782,0.6674108011632782,1,40
-14.625_-40.625|layer1|10-10,-14.625_-40.625,layer1,10-10,0.729670766800196,0.729670766800196,1,39
-15.125_-42.875|layer1|10-10,-15.125_-42.875,layer1,10-10,0.8860917478565434,0.8860917478565434,1,31
-3.625_-40.625|layer1|10-10,-3.625_-40.625,layer1,10-10,0.9478148467314428,0.9478148467314428,1,42
-3.875_-40.125|layer1|10-10,-3.875_-40.125,layer1,10-10,0.7786885121059939,0.7786885121059939,1,26
-32.125_150.375|layer1|0-5,-32.125_150.375,layer1,0-5,0.8125052100480167,0.8125052100480167,2,2
-34.625_146.125|layer1|0-5,-34.625_146.125,layer1,0-5,0.7273549417537922,0.7273549417537922,1,1337
-34.875_146.125|layer1|0-5,-34.875_146.125,layer1,0-5,0.8154346761431917,0.8154346761431917,1,425
-35.125_146.375|layer1|0-5,-35.125_146.375,layer1,0-5,0.652302000092908,0.652302000092908,1,670
-35.125_147.375|layer1|0-5,-35.125_147.375,layer1,0-5,0.4514440243078029,0.4514440243078029,1,616
-35.375_147.375|layer1|0-5,-35.375_147.375,layer1,0-5,0.7850556208910211,0.7850556208910211,2,774
-35.375_147.625|layer1|0-8,-35.375_147.625,layer1,0-8,0.8445713076873879,0.8367389930712388,4,318
-35.375_148.125|layer1|0-8,-35.375_148.125,layer1,0-8,0.9374856121990112,0.8975381905011452,4,823
-36.625_174.625|layer1|5-5,-36.625_174.625,layer1,5-5,0.7427550199050076,0.7589932947501982,3,21
-4.125_-39.375|layer1|10-10,-4.125_-39.375,layer1,10-10,0.7132211735819065,0.7132211735819065,1,6
-5.375_-39.625|layer1|10-10,-5.375_-39.625,layer1,10-10,0.8148658987146554,0.8148658987146554,1,25
-5.625_-39.125|layer1|10-10,-5.625_-39.125,layer1,10-10,0.7272511329778265,0.7272511329778265,1,15
-5.875_-37.625|layer1|10-10,-5.875_-37.625,layer1,10-10,0.6012541567447358,0.6012541567447358,1,23
-6.375_-39.375|layer1|10-10,-6.375_-39.375,layer1,10-10,0.7981663776116976,0.7981663776116976,1,6
-6.875_-38.875|layer1|10-10,-6.875_-38.875,layer1,10-10,0.8342463372251667,0.8342463372251667,1,22
-7.125_-39.375|layer1|10-10,-7.125_-39.375,layer1,10-10,0.7427822130235193,0.7427822130235193,1,10
-7.375_-38.125|layer1|10-10,-7.375_-38.125,layer1,10-10,0.3945599967359097,0.3945599967359097,1,47
-7.375_-38.875|layer1|10-10,-7.375_-38.875,layer1,10-10,0.7739646149859525,0.7739646149859525,1,4
-7.375_-41.875|layer1|10-10,-7.375_-41.875,layer1,10-10,0.8648183466993404,0.8648183466993404,1,8
-7.625_-37.375|layer1|10-10,-7.625_-37.375,layer1,10-10,0.5609098408106942,0.5609098408106942,1,62
-7.625_-38.375|layer1|10-10,-7.625_-38.375,layer1,10-10,0.7764192244625225,0.7764192244625225,1,35
-7.625_-39.625|layer1|10-10,-7.625_-39.625,layer1,10-10,0.5240112294548103,0.5240112294548103,1,8
-7.875_-35.875|layer1|10-10,-7.875_-35.875,layer1,10-10,0.6645476416711122,0.6645476416711122,1,20
-8.375_-36.625|layer1|10-10,-8.375_-36.625,layer1,10-10,0.867203380638619,0.867203380638619,1,129
-9.125_-36.625|layer1|10-10,-9.125_-36.625,layer1,10-10,0.5176409672551114,0.5176409672551114,1,26
-9.125_-37.375|layer1|10-10,-9.125_-37.375,layer1,10-10,0.7268745296753397,0.7268745296753397,1,97
-9.125_-38.125|layer1|10-10,-9.125_-38.125,layer1,10-10,0.4869184267260309,0.4869184267260309,1,16
-9.625_-37.375|layer1|10-10,-9.625_-37.375,layer1,10-10,0.8213873315513475,0.8213873315513475,1,4
13.625_2.625|layer1|5-5,13.625_2.625,layer1,5-5,0.8636939078894821,0.8791609022875359,3,103
17.375_96.375|layer1|1-10,17.375_96.375,layer1,1-10,0.8727364292437885,0.8727364292437885,2,202
17.375_96.625|layer1|1-10,17.375_96.625,layer1,1-10,0.9249648762438412,0.9249648762438412,1,16
18.125_-67.125|layer1|5-5,18.125_-67.125,layer1,5-5,0.7049190185178488,0.7049190185178488,1,643
19.875_-155.375|layer1|5-5,19.875_-155.375,layer1,5-5,0.5162629770804291,0.525021343250731,4,2102
19.875_-155.625|layer1|5-5,19.875_-155.625,layer1,5-5,0.4035636802811232,0.4035636802811232,1,120
20.125_-155.625|layer1|5-5,20.125_-155.625,layer1,5-5,0.6029680190146451,0.6029680190146451,2,37
30.125_-98.625|layer1|5-5,30.125_-98.625,layer1,5-5,0.8412766575163143,0.8412766575163143,2,14
30.125_-98.875|layer1|5-5,30.125_-98.875,layer1,5-5,0.8312135664138997,0.8312135664138997,1,3
30.375_-98.625|layer1|5-5,30.375_-98.625,layer1,5-5,0.8906804452205332,0.8906804452205332,1,1
30.375_-98.875|layer1|5-5,30.375_-98.875,layer1,5-5,0.9205718833666264,0.9205718833666264,1,2
31.125_91.625|layer1|0-5,31.125_91.625,layer1,0-5,0.8598596466646498,0.8598596466646498,2,10
31.125_92.125|layer1|0-5,31.125_92.125,layer1,0-5,0.762940971365831,0.762940971365831,2,96
31.375_91.875|layer1|5-5,31.375_91.875,layer1,5-5,0.757966591799142,0.7334380607654376,5,206
31.625_-109.875|layer1|5-5,31.625_-109.875,layer1,5-5,0.5884777372306491,0.5884777372306491,1,1
31.625_-110.125|layer1|5-5,31.625_-110.125,layer1,5-5,0.962092723944916,0.963283223199029,3,194
31.625_91.625|layer1|0-5,31.625_91.625,layer1,0-5,0.38689870678250193,0.38689870678250193,2,151
31.625_91.875|layer1|0-5,31.625_91.875,layer1,0-5,0.8993610282549889,0.8825635181019705,6,38
31.625_92.125|layer1|0-5,31.625_92.125,layer1,0-5,0.8166180949469806,0.8166180949469806,2,18
