idx,region,n_matched_days,n_consecutive_differences,daily_corr,difference_corr
1.875_103.375,asia,580,579,0.5217003508428938,0.28605489494813663
17.375_96.375,asia,774,772,0.7965167510941087,0.14700811755505733
17.375_96.625,asia,351,343,0.9727691046789203,0.301050968372091
26.625_80.125,asia,476,471,0.8710858281894713,0.4539309530252383
31.125_91.625,asia,1478,1441,0.7614361254403538,0.39188358565450393
31.125_91.875,asia,1675,1620,0.4269075749845474,0.19473244698950196
31.125_92.125,asia,1420,1379,0.7856805645625748,0.3874022642622806
31.125_92.375,asia,1247,1208,0.7128467721548022,0.42552421513583094
31.375_91.875,asia,2199,2123,0.44834856120312727,0.3308023682061798
31.375_92.125,asia,703,671,0.6802752715592097,0.33026572382281083
31.625_91.625,asia,1463,1435,0.37539782060449794,0.2713616130483005
31.625_91.875,asia,1478,1445,0.7618597252036405,0.37024954454914605
31.625_92.125,asia,1440,1397,0.8043422637183419,0.3609882417355343
31.625_92.375,asia,1324,1287,0.6590456047617456,0.33076235682959193
31.875_91.625,asia,1434,1405,0.7431515847535992,0.4502947634748104
31.875_91.875,asia,1298,1260,0.7745801791532044,0.4423021590548463
32.375_79.875,asia,979,962,0.286008327974364,0.1993484670166971
32.375_80.125,asia,1998,1961,0.7242421592796752,0.4256836415822375
32.625_79.875,asia,1962,1924,0.7184542440296605,0.3498232514114719
32.625_80.125,asia,1633,1593,0.8305184239881075,0.4632149957906775
33.375_79.625,asia,1784,1752,0.676988158736208,0.36489451313628846
33.625_101.875,asia,1993,1944,0.49587326619013466,0.43252411341073804
33.625_102.125,asia,2206,2115,0.506211156947202,0.5170054415302646
33.625_102.375,asia,1456,1398,0.27751971274598053,0.4078092500146983
33.875_101.625,asia,1587,1532,0.4545266961902215,0.4676166021887327
33.875_101.875,asia,1325,1290,0.593655816159351,0.5783003586088711
33.875_102.125,asia,2242,2196,0.5362670724887212,0.46908003436857293
33.875_102.375,asia,2075,2035,0.4606966466289163,0.4832141158607604
33.875_102.625,asia,2461,2400,0.4433304335761234,0.5186235003832022
34.125_101.875,asia,1768,1715,0.5100229877193316,0.46760175879325594
34.125_102.375,asia,2107,2048,0.47740456722767244,0.5493906274944246
36.875_68.125,asia,2722,2668,0.7971377191870247,0.4400792951462602
37.125_127.625,asia,2890,2842,0.6711775403172902,0.5615182121536364
37.375_126.875,asia,195,194,0.6627651558903852,0.7483775644404685
37.875_126.875,asia,295,287,0.7749192008716234,0.7188813978970232
38.625_66.875,asia,3083,2934,0.8951178717114444,0.44028622249439764
38.625_102.875,asia,587,577,0.6959178817096009,0.3879173985608846
38.875_100.375,asia,139,138,0.09841511001479364,0.022615480686971792
39.625_71.625,asia,1301,1240,0.6409368073161331,0.2521034335742812
40.875_76.625,asia,478,460,0.5188947278816072,0.13846663026327763
41.625_77.875,asia,356,319,0.4270191662452402,0.2753906910090767
41.625_115.625,asia,286,278,0.4532559500129522,0.5331430606292793
41.625_115.875,asia,271,263,0.4715905911551698,0.5666311722216674
41.625_116.125,asia,278,266,0.6224253466157991,0.5073172353585397
41.625_116.375,asia,293,279,0.521887993166873,0.4257605703786991
41.875_70.625,asia,2178,2145,0.6196558215076183,0.30810976216331526
41.875_74.375,asia,2800,2767,0.4973010419721956,0.2630510780335238
41.875_115.625,asia,469,460,0.5746596047864031,0.548861159103029
41.875_115.875,asia,272,265,0.2610399235839106,0.3856968554916835
41.875_116.125,asia,305,296,0.6619062817543795,0.6134789429949797
41.875_116.375,asia,287,275,0.5882597574156467,0.5009174633617928
42.125_115.625,asia,289,276,0.45195762475103957,0.6777384578578869
42.125_115.875,asia,344,331,0.601417560058581,0.6710739964073215
42.125_116.125,asia,338,325,0.7550137413001328,0.673326304556925
42.125_116.375,asia,155,145,0.8312029141648357,0.6014242478147973
42.375_74.375,asia,1452,1398,0.74739473131587,0.4040469504308172
42.375_115.625,asia,289,278,0.2695666362841013,0.19712676804001641
42.375_115.875,asia,285,276,0.2595193377317077,0.2151221683998396
42.375_116.125,asia,309,298,0.6889429464994646,0.5659685655546721
42.375_116.375,asia,288,277,0.5369499094081573,0.519645853184351
42.625_74.375,asia,2703,2608,0.7492472640497441,0.3622663142188452
-2.875_37.375,africa,960,957,0.7593257899138595,0.25743301254416034
-1.375_35.125,africa,1008,1007,0.5993008933356163,0.40121927001560764
-1.375_35.375,africa,231,220,-0.03778905758980689,0.13676176524032227
-1.375_40.125,africa,995,992,0.6544213962319918,0.11551939039643751
-1.125_35.875,africa,1006,1004,0.6749923475860053,0.2339200447567602
-0.875_34.875,africa,786,780,0.3889227941738454,0.3762235693070251
-0.625_36.375,africa,825,817,0.5613316391134116,0.42621794731237933
-0.625_36.625,africa,900,875,0.5081979926995345,0.37301142351881916
-0.375_36.875,africa,961,959,0.5570637303896927,0.26282635936235127
-0.125_34.625,africa,932,919,0.6053195593514417,0.318947453527843
0.375_36.875,africa,2697,2668,0.7263947860796385,0.3754240683840578
5.375_-3.875,africa,794,768,0.5833574267891464,0.2530907892632458
6.125_-0.375,africa,1167,1166,0.8253546143018397,0.2519734551591529
6.375_-2.875,africa,343,342,0.8217950278877317,0.17543320482831304
6.625_-3.125,africa,828,824,0.7615143138710153,0.2792570926332558
6.625_-1.625,africa,833,832,0.5879536492859955,0.18028989975599932
7.375_-2.375,africa,782,773,0.8004080294571345,0.3106454903008175
7.625_-0.875,africa,578,576,0.7662567871161512,0.34251428248126836
7.875_-2.125,africa,935,934,0.7778407379767154,0.35643879390552713
7.875_-0.125,africa,945,944,0.8549803608061533,0.3808466369482609
8.125_-2.375,africa,897,896,0.7293889775029613,0.3492468113356035
8.375_-0.125,africa,842,837,0.8699314460554527,0.3682578832974701
8.875_0.125,africa,937,935,0.910141842706268,0.31621128534849885
9.375_-2.375,africa,936,934,0.8239067086301137,0.34873915400102246
9.375_-1.125,africa,1054,1051,0.8350705260473313,0.44382761783609337
9.625_1.625,africa,4245,4236,0.8644433139581318,0.30111178371907155
9.875_-2.375,africa,904,902,0.8401823645188079,0.45580260797050703
9.875_1.625,africa,4143,4136,0.9007981458490618,0.3542785223756793
10.375_-2.625,africa,937,936,0.818054702191714,0.33353166403072115
10.625_-2.375,africa,917,914,0.8048940613410874,0.2956300928278432
10.625_-1.875,africa,937,936,0.8561628619226662,0.32509070211458074
10.875_-1.125,africa,834,825,0.8805957614640911,0.26439880187875936
10.875_-0.875,africa,786,775,0.8674277853254592,0.2673406229426449
11.125_-0.125,africa,920,901,0.8274820388491135,0.23735159209939136
13.375_30.375,africa,4078,4065,0.6276359646861593,0.24661112200017432
13.625_2.625,africa,4556,4552,0.7081284531816632,0.2764153930911229
15.375_-15.375,africa,2995,2973,0.6442666374421113,0.271779712427714
-36.625_174.625,oceania,986,985,0.8425848192037811,0.7232028428916772
-36.375_148.875,oceania,3548,3534,0.7704096256258467,0.6637005538802505
-35.375_147.375,oceania,4046,4005,0.7959458260416227,0.5670680987748375
-35.375_147.625,oceania,3665,3656,0.8292047610306136,0.5668488230106297
-35.375_148.125,oceania,4136,4119,0.8702854357478008,0.6552374590971924
