month,target_median,target_q25,target_q75,era_median,era_q25,era_q75
1,0.28486100000000003,0.21267165845648606,0.3580620491803279,0.2948201449275363,0.2273157142857143,0.37243000000000004
2,0.2874390642722117,0.224539427830941,0.35058944847020934,0.30320116959064325,0.24523618421052634,0.36412984375
3,0.28982719047619043,0.2269048306451613,0.35274137362637364,0.2964662966101695,0.2284768064516129,0.36041196943972836
4,0.29051062962962965,0.22622581666666666,0.3507665952380953,0.29899202898550725,0.2224228644210971,0.3524936081355932
5,0.2808432258064516,0.2078790490591398,0.3404478830416004,0.2720888888888889,0.1972431139480052,0.33664778721174005
6,0.2570536365248227,0.18729365538674034,0.3193992329545455,0.24498116666666664,0.17516597424922817,0.30956346130952384
7,0.23023306451612902,0.16962,0.2944563768115942,0.22251500000000002,0.1627308064516129,0.28558
8,0.22255193548387098,0.16476,0.28614671428571425,0.21730155913978494,0.16243625,0.2863668831168831
9,0.22290564007421151,0.16038428205128205,0.28863493333333334,0.22930533333333333,0.16328076666666666,0.2918134234234234
10,0.23715746113989639,0.17195252952582407,0.30441506380609795,0.2474891431451613,0.17389645442610652,0.31134640116853196
11,0.25833408333333335,0.18391052631578947,0.3281095945945946,0.26621944444444445,0.18600325806451612,0.33687878172588837
12,0.2623392356687898,0.191995873015873,0.3384803861788618,0.27088322580645163,0.1940049655781112,0.35543912652694365
