,layer1
2001-01-01,0.28268
2001-01-02,0.28257
2001-01-03,0.28265
2001-01-04,0.28251
2001-01-05,0.28253
2001-01-06,0.28241
2001-01-07,0.2826
2001-01-08,0.28321
2001-01-09,0.2829
2001-01-10,0.28233
2001-01-11,0.28245
2001-01-12,0.28227
2001-01-13,0.28243
2001-01-14,0.28196
2001-01-15,0.28228
2001-01-16,0.2823
2001-01-17,0.28175
2001-01-18,0.28127
2001-01-19,0.28103
2001-01-20,0.28117
2001-01-21,0.28062
2001-01-22,0.28063
2001-01-23,0.28114
2001-01-24,0.28081
2001-01-25,0.28059
2001-01-26,0.27823
2001-01-27,0.27741
2001-01-28,0.27778
2001-01-29,0.27791
2001-01-30,0.27795
2001-01-31,0.27736
2001-02-01,0.27712
2001-02-02,0.27677
2001-02-03,0.27616
2001-02-04,0.2759
2001-02-05,0.27708
2001-02-06,0.28071
2001-02-07,0.28025
2001-02-08,0.27996
2001-02-09,0.27901
2001-02-10,0.27883
2001-02-11,0.27769
2001-02-12,0.27666
2001-02-13,0.27677
2001-02-14,0.2765
2001-02-15,0.27658
2001-02-16,0.27584
2001-02-17,0.27559
2001-02-18,0.27502
2001-02-19,0.27722
2001-02-20,0.28425
2001-02-21,0.28505
2001-02-22,0.28626
2001-02-23,0.28803
2001-02-24,0.28805
2001-02-25,0.2849
2001-02-26,0.2855
2001-02-27,0.2831
2001-02-28,0.28209
2001-03-01,0.28128
2001-03-02,0.28146
2001-03-03,0.28456
2001-03-04,0.28509
2001-03-05,0.28808
2001-03-06,0.2904
2001-03-07,0.28989
2001-03-08,0.28887
2001-03-09,0.28729
2001-03-10,0.29639
2001-03-11,0.29322
2001-03-12,0.29074
2001-03-13,0.28833
2001-03-14,0.286
2001-03-15,0.2832
2001-03-16,0.28137
2001-03-17,0.28216
2001-03-18,0.28124
2001-03-19,0.27997
2001-03-20,0.30534
2001-03-21,0.34888
2001-03-22,0.367
2001-03-23,0.37332
2001-03-24,0.37898
2001-03-25,0.38632
2001-03-26,0.38998
2001-03-27,0.38135
2001-03-28,0.36891
2001-03-29,0.3703
2001-03-30,0.3733
2001-03-31,0.36709
2001-04-01,0.36309
2001-04-02,0.38069
2001-04-03,0.38058
2001-04-04,0.37487
2001-04-05,0.3767
2001-04-06,0.38445
2001-04-07,0.38479
2001-04-08,0.38019
2001-04-09,0.37027
2001-04-10,0.36383
