date;soilm;flag;ori_flag
2001-01-01 00:00:00;0.28068;M;M
2001-01-01 03:00:00;0.28017;M;M
2001-01-01 06:00:00;0.28045;M;M
2001-01-01 09:00:00;0.2804;M;M
2001-01-01 12:00:00;0.2786;M;M
2001-01-01 15:00:00;0.27919;M;M
2001-01-01 18:00:00;0.27823;M;M
2001-01-01 21:00:00;0.27858;M;M
2001-01-02 00:00:00;0.28939;G;M
2001-01-02 03:00:00;0.28925;G;M
2001-01-02 06:00:00;0.28928;G;M
2001-01-02 09:00:00;0.28991;G;M
2001-01-02 12:00:00;0.28862;G;M
2001-01-02 15:00:00;0.28653;G;M
2001-01-02 18:00:00;0.28697;G;M
2001-01-02 21:00:00;0.28816;G;M
2001-01-03 00:00:00;0.27683;G;M
2001-01-03 03:00:00;0.27861;G;M
2001-01-03 06:00:00;0.27924;G;M
2001-01-03 09:00:00;0.27882;G;M
2001-01-03 12:00:00;0.27792;G;M
2001-01-03 15:00:00;0.27634;G;M
2001-01-03 18:00:00;0.27638;G;M
2001-01-03 21:00:00;0.27536;G;M
2001-01-04 00:00:00;0.28421;G;M
2001-01-04 03:00:00;0.28638;G;M
2001-01-04 06:00:00;0.28603;G;M
2001-01-04 09:00:00;0.28542;G;M
2001-01-04 12:00:00;0.28451;G;M
2001-01-04 15:00:00;0.28351;G;M
2001-01-04 18:00:00;0.28239;G;M
2001-01-04 21:00:00;0.28368;G;M
2001-01-05 00:00:00;0.28553;G;M
2001-01-05 03:00:00;0.28458;G;M
2001-01-05 06:00:00;0.28476;G;M
2001-01-05 09:00:00;0.28636;G;M
2001-01-05 12:00:00;0.284;G;M
2001-01-05 15:00:00;0.2843;G;M
2001-01-05 18:00:00;0.28477;G;M
2001-01-05 21:00:00;0.28319;G;M
2001-01-06 00:00:00;0.28153;G;M
2001-01-06 03:00:00;0.28307;G;M
2001-01-06 06:00:00;0.2838;G;M
2001-01-06 09:00:00;0.28304;G;M
2001-01-06 12:00:00;0.28117;G;M
