date;soilm;flag;ori_flag
2001-01-01 00:00:00;0.27944;M;M
2001-01-01 03:00:00;0.27984;G;M
2001-01-01 06:00:00;0.28221;G;M
2001-01-01 09:00:00;0.28178;G;M
2001-01-01 12:00:00;0.27977;G;M
2001-01-01 15:00:00;0.27897;G;M
2001-01-01 18:00:00;0.27939;G;M
2001-01-01 21:00:00;0.27946;G;M
2001-01-02 00:00:00;0.28686;G;M
2001-01-02 03:00:00;0.28812;G;M
2001-01-02 06:00:00;0.28756;G;M
2001-01-02 09:00:00;0.28831;G;M
2001-01-02 12:00:00;0.28521;G;M
2001-01-02 15:00:00;0.28486;G;M
2001-01-02 18:00:00;0.28426;G;M
2001-01-02 21:00:00;0.28388;G;M
2001-01-03 00:00:00;0.28938;G;M
2001-01-03 03:00:00;0.29188;G;M
2001-01-03 06:00:00;0.29102;G;M
2001-01-03 09:00:00;0.28989;G;M
2001-01-03 12:00:00;0.28939;G;M
2001-01-03 15:00:00;0.28878;G;M
2001-01-03 18:00:00;0.28779;G;M
2001-01-03 21:00:00;0.28818;G;M
2001-01-04 00:00:00;0.28245;G;M
2001-01-04 03:00:00;0.28506;G;M
2001-01-04 06:00:00;0.28558;G;M
2001-01-04 09:00:00;0.28565;G;M
2001-01-04 12:00:00;0.28448;G;M
2001-01-04 15:00:00;0.28265;G;M
2001-01-04 18:00:00;0.28049;G;M
2001-01-04 21:00:00;0.28116;G;M
2001-01-05 00:00:00;0.28536;G;M
2001-01-05 03:00:00;0.2876;G;M
2001-01-05 06:00:00;0.28737;G;M
2001-01-05 09:00:00;0.28831;G;M
2001-01-05 12:00:00;0.28629;G;M
2001-01-05 15:00:00;0.28511;G;M
2001-01-05 18:00:00;0.28485;G;M
2001-01-05 21:00:00;0.28509;G;M
2001-01-06 00:00:00;0.28269;G;M
2001-01-06 03:00:00;0.28666;G;M
2001-01-06 06:00:00;0.2865;G;M
2001-01-06 09:00:00;0.28601;G;M
2001-01-06 12:00:00;0.28315;G;M
2001-01-06 15:00:00;0.28111;G;M
2001-01-06 18:00:00;0.28082;G;M
2001-01-06 21:00:00;0.28166;G;M
2001-01-07 00:00:00;0.28321;G;M
2001-01-07 03:00:00;0.2845;G;M
2001-01-07 06:00:00;0.28541;G;M
2001-01-07 09:00:00;0.28537;G;M
2001-01-07 12:00:00;0.28296;G;M
2001-01-07 15:00:00;0.28157;G;M
2001-01-07 18:00:00;0.28054;G;M
2001-01-07 21:00:00;0.28109;G;M
2001-01-08 00:00:00;0.28628;G;M
2001-01-08 03:00:00;0.28872;G;M
2001-01-08 06:00:00;0.28912;G;M
2001-01-08 09:00:00;0.28808;G;M
2001-01-08 12:00:00;0.28653;G;M
2001-01-08 15:00:00;0.28614;G;M
2001-01-08 18:00:00;0.28621;G;M
2001-01-08 21:00:00;0.28588;G;M
2001-01-09 00:00:00;0.28372;G;M
2001-01-09 03:00:00;0.28441;G;M
2001-01-09 06:00:00;0.28515;G;M
2001-01-09 09:00:00;0.28458;G;M
2001-01-09 12:00:00;0.28333;G;M
2001-01-09 15:00:00;0.28183;G;M
2001-01-09 18:00:00;0.282;G;M
2001-01-09 21:00:00;0.28316;G;M
2001-01-10 00:00:00;0.28523;G;M
2001-01-10 03:00:00;0.28814;G;M
2001-01-10 06:00:00;0.28741;G;M
2001-01-10 09:00:00;0.28691;G;M
2001-01-10 12:00:00;0.28438;G;M
2001-01-10 15:00:00;0.28292;G;M
2001-01-10 18:00:00;0.28461;G;M
2001-01-10 21:00:00;0.28385;G;M
2001-01-11 00:00:00;0.28706;M;M
2001-01-11 03:00:00;0.2878;M;M
2001-01-11 06:00:00;0.28847;M;M
2001-01-11 09:00:00;0.2887;M;M
2001-01-11 12:00:00;0.28644;M;M
2001-01-11 15:00:00;0.28294;M;M
2001-01-11 18:00:00;0.28348;M;M
2001-01-11 21:00:00;0.2859;M;M
2001-01-12 00:00:00;0.28523;G;M
2001-01-12 03:00:00;0.28504;G;M
2001-01-12 06:00:00;0.28514;G;M
2001-01-12 09:00:00;0.28413;G;M
2001-01-12 12:00:00;0.28421;G;M
2001-01-12 15:00:00;0.2813;G;M
2001-01-12 18:00:00;0.28116;G;M
2001-01-12 21:00:00;0.28265;G;M
2001-01-13 00:00:00;0.2871;G;M
